iter	Passed	Remaining
0	5	5446
1	9	4867
2	12	4319
3	21	5409
4	28	5581
5	36	6064
6	43	6198
7	51	6354
8	59	6513
9	71	7062
10	87	7847
11	96	7934
12	103	7867
1313	136	9621414	145	9561515	153	9428
16	160	9264
17	168	9161818	180	9317
19	184	9062020	194	9064
21	201	8970
22	208	8872
23	219	8926
24	228	8913
25	234	8794
26	241	8692727	248	8642828	261	8755
29	266	86330	248	7764
31	255	7720
32	264	7751
33	269	7644
3434	298	8223535	305	8183636	315	8200
37	322	8158
38	328	8083939	336	8064040	348	8159
41	355	8109
42	361	8036
43	364	7924444	372	7914545	379	7864646	386	78347	369	7323
48	377	7333
49	388	7375
50	392	7312
51	398	7260
52	408	7292
53	419	7354
54	433	7449
55	438	7386
56	442	7321
57	446	7257
58	453	7235
59	462	7246
60	467	7202
61	471	7140
6262	507	7546363	513	7506464	522	7526565	531	75266	517	7202
67	525	7201
68	531	7166
6969	564	7497070	572	7487171	579	7467272	592	7525
73	602	7538
74	607	7487
75	614	7470
76	621	7446
77	628	7427878	636	7421
79	643	7404
80	648	7359
81	653	7318282	660	7302
83	667	7279
84	679	7309
85	685	7289
86	696	7313
87	707	7327
88	716	7337
89	726	7349
90	736	7355
91	741	7320
92	747	7285
93	752	7256
94	759	7239
95	765	7206
96	770	7174
97	778	7168
98	782	7120
99	787	7088
100	796	7087
101	804	7082
102	811	7069
103	817	7044
104	824	7024
105	831	7013
106	838	6997
107	845	6983
108	850	69510109	853	690110	835	6687
111	844	6692
11112	877	68911113	891	6925
114	897	6903
115	901	6872
116	909	6863
117	917	6855
118	923	6838
119	933	6846
120	941	6840
121	952	6855
122	958	6832
123	966	6828
124	970	6795
125	979	6795
126	983	67612127	987	67212128	996	67212129	1006	6736
130	1015	6736
131	1021	6714
132	1037	6760
133	1042	6737
134	1047	6708
135	1051	6679
136	1059	6675
137	1063	6645
138	1069	6624
139	1074	6599
140	1082	6596
141	1088	6579
142	1097	6577
143	1105	6571
144	1112	6562
145	1118	6542
146	1125	6533
147	1130	6508
148	1134149	11149	1142150	1125	6327
151	1138	6351
152	1147	6351
153	1158	6362
154	1172	6389
155	1180	6386
156	1189	6388
157	1193	6361
158	1200	6347
159	1213	6372
160	1221	6365
161	1232	6377
162	1239	6362
163	1247	6358
164	1252	6336
165	1262	6344
166	1265	6313
167	1281	6344
168	1287	6330
169	1292	6312
170	1300	6305
171	1305	6283
172	1313	6279
173	1319	6264
174	1325	6246
175	1331	6233
176	1338	6225
177	1344	6207
178	1351	6198
179	1361	6203
180	1370	6199
181	1375	6183
182	1384	6180
183	1392	6174
184	1401	6173
185	1403	6143
186	1412	6141
187	1423	6146
188	1428	6128
189	1434	6116
190	1444	6117
191	1454	6118
192	1462	6114
193	1469	6106
194	1479	6107
195	1486	6095
196	1492	6083
197	1498	6070
198	1501	6041
199	1506	6025
200	1516	6027
201	1522	6016
202	1537	6035
203	1543	6023
204	1546	5997
205	1551	5980
206	1559	5973
207	1566	5965
208	1574	5959
209	1581	5951
210	1591	5952
211	1601	5952
212	1609	5947
213	1617	5942
214	1629	5947
215	1632	5925
216	1638	5910
217	1644	5900
218	1654	5900
219	1662	5892
220	1667	5879
221	1674	5868
222	1682	5862
223	1693	5866
224	1702	5863
225	1709	5856
226	1715	5840
227	1722	5832
228	1732	5831
229	1738	5821
230	1745	5811
231	1751	5799
232	1757	5785
233	1763	5772
234	1767	5754
235	1779	5761
236	1791	5766
237	1794	5746
238	1799	5730
239	1809	5728
240	1817	5725
241	1823	5712
242	1827	5693
243	1837	5691
244	1846	5690
245	1851	5675
246	1855	5655
247	1859	5637
248	1867	5631
249	1871	5614
250	1879	5609
251	1888	5606
252	1894	5593
253	1902	5587
254	1907	5571
255	1918	5575
256	1928	5574
257	1938	5573
258	1947	5573
259	1953	5560
260	1959	5548
261	1965	5536
262	1972	5528
263	1980	5521
264	1986	5510
265	1995	5505
266	2006	5508
267	2011	5494
268	2018	5483
269	2030	5490
270	2036	5478
271	2046	5478
272	2053	5467
273	2059	5457
274	2065	5444
275	2078	5453
276	2084	5440
277	2091	5430
278	2100	5427
279	2108	5422
280	2115	5411
281	2124	5410
282	2131	5401
283	2137	5388
284	2141	5372
285	2150	5367
286	2160	5367
287	2168	5360
288	2177	5356
289	2187	5355
290	2194	5347
291	2201	5338
292	2207	5326
293	2214	5318
294	2224	5316
295	2230	5304
296	2241	5306
297	2250	5301
298	2258	5293
299	2263	5280
300	2269	5271
301	2277	5263
302	2284	5254
303	2293	5250
304	2303	5248
305	2313	5246
306	2320	5237
307	2327	5228
308	2333	5218
309	2343	5216
310	2351	5209
311	2357	5198
312	2366	5193
313	2372	5183
314	2379	5174
315	2387	5168
316	2397	5166
317	2403	5154
318	2408	5142
319	2413	5129
320	2419	5117
321	2422	5101
322	2430	5093
323	2435	5081
324	2443	5075
325	2450	5065
326	2455	5054
327	2464	5049
328	2470	5039
329	2479	5034
330	2490	5033
331	2500	5031
332	2508	5023
333	2513	5011
334	2519	5001
335	2526	4992
336	2535	4988
337	2544	4983
338	2558	4989
339	2565	4979
340	2573	4972
341	2578	4961
342	2589	4959
343	2592	4944
344	2598	4933
345	2607	4929
346	2617	4925
347	2627	4921
348	2637	4920
349	2645	4913
350	2654	4908
351	2663	4903
352	2672	4897
353	2677	4885
354	2689	4886
355	2696	4878
356	2704	4870
357	2711	4863
358	2719	4855
359	2726	4847
360	2731	4834
361	2739	4828
362	2749	4824
363	2757	4818
364	2767	4813
365	2777	4812
366	2786	4806
367	2793	4796
368	2803	4794
369	2808	4782
370	2818	4779
371	2821	4763
372	2826	4751
373	2836	4747
374	2844	4740
375	2850	4730
376	2855	4718
377	2866	4717
378	2875	4711
379	2880	4699
380	2887	4691
381	2900	4692
382	2905	4680
383	2915	4676
384	2920	4665
385	2928	4657
386	2935	4650
387	2942	4640
388	2950	4633
389	2956	4624
390	2963	4615
391	2967	4603
392	2972	4590
393	2980	4583
394	2992	4583
395	3000	4576
396	3006	4567
397	3010	4554
398	3022	4552
399	3028	4542
400	3032	4530
401	3037	4519
402	3047	4515
403	3052	4503
404	3056	4490
405	3062	4480
406	3068	4470
407	3073	4460
408	3079	44409409	3086	44410410	3097	44411411	3111	4440
412	3121	4436
413	3128	4428
414	3136	4420
415	3142	4411
416	3147	4400
417	3155	43418418	3165	4389
419	3172	4381
420	3182	4376
421	3188	4366
422	3192	4355
423	3201	4349
424	3208	4340
425	3214	4331
426	3222	4324
427	3228	4315
428	3237	4308
429	3245	4302
430	3254	4296
431	3259	4285
432	3264	4274
433	3269	4263
434	3276	4255
435	3283	4247
436	3289	4237
437	3298	4232
438	3304	4222
439	3310	4213
440	3316	4203
441	3324	4197
442	3334	4192
443	3342	4186
444	3349	4177
445	3358	4171
446	3362	4160
447	3367	4149
448	3377	4144
449	3385	4137
450	3393	4130
451	3399	4121
452	3406	4112
453	3412	4103
454	3421	4098
455	3430	4092
456	3441	4088
457	3451	4084
458	3458	4076
459	3463	4066
460	3470	4057
461	3478	4050
462	3486	4043
463	3495	4037
464	3502	4029
465	3507	4019
466	3514	4010
467	3519	4001
468	3526	3992
469	3532	3983
470	3540	3976
471	3548	3969
472	3555	3961
473	3564	3955
474	3572	3948
475	3579	3940
476	3587	3933
477	3598	3929
478	3604	3920
479	3609	3910
480	3616	3902
481	3627	3898
482	3633	3888
483	3637	3878
484	3643	3868
485	3652	3862
486	3661	3856
487	3674	3855
488	3681	3847
489	3690	3841
490	3696	3831
491	3700	3821
492	3706	3811
493	3714	3805
494	3723	3798
495	3737	3797
496	3743	3789
497	3749	3779
498	3757	3773
499	3765	3765
500	3772	3757
501	3781	3751
502	3787	3741
503	3793	3733
504	3799	3724
505	3809	3718
506	3817	3712
507	3824	3704
508	3829	3694
509	3834	3684
510	3845	3680
511	3854	3673
512	3860	3664
513	3868	3657
514	3871	3646
515	3877	3637
516	3886	3631
517	3890	3620
518	3896	3611
519	3902	3602
520	3913	3597
521	3920	3590
522	3931	3585
523	3940	3579
524	3948	3572
525	3956	3565
526	3963	3557
527	3968	3547
528	3973	3538
529	3980	3529
530	3987	3521
531	3995	3514
532	4000	3505
533	4006	3496
534	4017	3491
535	4021	3481
536	4025	3470
537	4032	3462
538	4037	3453
539	4042	3443
540	4050	3436
541	4056	3428
542	4062	3418
543	4068	3410
544	4073	3400
545	4080	3393
546	4087	3384
547	4093	3376
548	4099	3367
549	4105	3358
550	4110	3349
551	4118	3342
552	4124	3333
553	4128	3323
554	4135	3315
555	4142	3307
556	4148	3299
557	4153	3290
558	4158	3280
559	4166	3273
560	4173	3265
561	4178	3256
562	4185	3248
563	4191	3240
564	4196	3230
565	4201	3221
566	4206	3212
567	4215	3205
568	4220	3196
569	4226	3188
570	4232	3180
571	4248	3179
572	4259	3174
573	4266	3166
574	4270	3156
575	4275	3147
576	4281	3138
577	4289	3131
578	4294	3122
579	4300	3114
580	4306	3105
581	4312	3097
582	4318	3088
583	4323	3079
584	4329	3071
585	4334	3062
586	4340	3053
587	4345	3045
588	4352	3036
589	4357	3028
590	4363	3019
591	4369	3011
592	4374	3002
593	4380	2994
594	4386	2986
595	4393	2978
596	4400	2970
597	4404	2961
598	4412	2954
599	4428	2952
600	4434	2943
601	4439	2934
602	4447	2928
603	4452	2919
604	4458	2911
605	4465	2903
606	4471	2894
607	4477	2886
608	4484	2879
609	4489	2870
610	4497	2863
611	4504	2855
612	4512	2848
613	4519	2841
614	4524	2832
615	4532	2825
616	4540	2818
617	4546	2810
618	4551	2801
619	4557	2793
620	4561	2784
621	4568	2776
622	4571	2766
623	4576	2757
624	4583	2750
625	4587	2740
626	4592	2732
627	4605	2728
628	4614	2721
629	4620	2713
630	4626	2705
631	4634	2698
632	4641	2690
633	4646	2682
634	46634	4682	2691
635	4686	2682
636	4694	2675
637	4703	2668
638	4709	2660
639	4715640	46640	4724641	47641	4727642	4710	2615
643	4717	2607
644	4726	2601
645	4730	2592
646	4739	2585
647	47647	4773648	47648	4779649	47649	4787650	47650	4796651	47651	4806652	47652	4813	2557
653	4821	2550
654	4827	2542
655	4828656	48656	4835657	48657	4844658	48658	4852659	48659	4857660	48660	4864661	48661	4872662	48662	4877663	48663	4885664	48664	4892665	48665	4898666	48666	4907667	48667	4914668	48668	4919669	4899	2413
670	4908	2406
671	4918	2400
672	4925	2392
673	4931	2385
674	4941	2379
675	4950	2372
676	4959	2366
677	4966	2358
678	4971	2350
679	4978	2342
680	4983	2334
681	4989	2326
682	4993	2317
683	4998	2309
684	5004	2301
685	5007	2292
686	5012	2283
687	5016	2275
688	5022	2267
689	5027	2258
690	5032	2250
691	5037	2242
692	5041	2233
693	5048	2226
694	5052	2217
695	5058	2209
696	5062	2200
697	5066	2192
698	5070	2183
699	50699	5104700	50700	5114	2181
701	5120	2173
702	5125	2165
703	5130	2157
704	5135	2148
705	5140	2140
706	5144707	51707	5151708	51708	5156709	51709	5163710	51710	5174	2103
711	5180	2095
712	5186	2087
713	5192	2079
714	5196	2071
715	5203	2063
716	5209	2056
717	5718	5242	718	5719	5250	719	5720	5256	720	5721	5261	721	5722	5267	722	5723	5275	2011
724	5282	2003
725	5290	1996
726	5294	726	5727	5298	727	5728	5303	728	5282	1963
729	5286	1955
730	5731	5321	731	5300	1940
732	5309	1933
733	5313	1925
734	5319	1917
735	5324	1909
736	5330	1902
737	5339	1895
738	5346	1888
739	5353	1881
740	5359	1873
741	5365	1865
742	5372	1858
743	5378	1850
744	5383	1842
745	5388	1834
746	5399	1828
747	5406	1821
748	5413	1814
749	5419	1806
750	5423	1798
751	5429	1790
752	5434	1782
753	5438	1774
754	5755	5476	755	5756	5481	756	5757	5490	757	5758	5497	758	5759	5501	759	5760	5508	760	5761	5515	761	5762	5522	762	5763	5527	763	5764	5533	764	5765	5540	765	5766	5546	766	5767	5551	767	5768	5557	768	5769	5564	769	5770	5571	1654
771	5579	1647
772	5586	1640
773	5592	1632
774	5601	1626
775	5608	1618
776	5617	1612
777	5623	1604
778	5628	1596
779	5636	1589
780	5646	1583
781	5652	1575
782	5662	1569
783	5667	1561
784	5672	1553
785	5679	1546
786	5685	1538
787	5691	1531
788	5699	1524
789	5704	1516
790	5710	1508
791	5716	1501
792	5722	1493
793	5729	1486
794	5735	1479
795	5743	1471
796	5748	1464
797	5754	1456
798	5762	1449
799	5767	1441
800	5774	1434
801	5780	1427
802	5785	1419
803	5794	1412
804	5801	1405
805	5807	1397
806	5813	1390
807	5818	1382
808	5823	1374
809	5828	809	5810	5834	810	5811	5841	811	5812	5850	812	5813	5859	1338
814	5865	1331
815	5872	1324
816	5878	816	5817	5886	1309
818	5893	1302
819	5897	1294
820	5905	820	5821	5915	1280
822	5921	1273
823	5929	1266
824	5934	1258
825	5941	1251
826	5949	1244
827	5955	1237
828	5960	828	5938	1224
829	5944	1217
830	5951	1210
831	5959	1203
832	5966	1196
833	5976	1189
834	5981	1182
835	5992	1175
836	6002	1168
837	6010	1161
838	6019	1155
839	6027	1148
840	6032	1140
841	6039	1133
842	6044	1125
843	6051	1118
844	6056	1110
845	6062	1103
846	6072	1096
847	6076	1089
848	6081	1081
849	6086	1074
850	6096	1067
851	6102	1060
852	6108	1052
853	6115	1045
854	6118	1037
855	6124	1030
856	6128	1022
857	6135	1015
858	6142	1008
859	6147	1000
860	6157	994
861	6163	986
862	6168	979
863	6174	971
864	6179	964
865	6184	956
866	6189	949
867	6194	942
868	6203	935
869	6209	927
870	6214	920
871	6220	913
872	6227	905
873	6232	898
874	6236	890
875	6243	883
876	6248	876
877	6253	868
878	6259	861
879	6266	854
880	6270	847
881	6280	840
882	6287	833
883	6291	825
884	6300	818
885	6306	811
886	6314	804
887	6319	797
888	6325	789
889	6331	782
890	6340	775
891	6345	768
892	6349	760
893	6354	753
894	6358	745
895	6365	738
896	6370	731
897	6375	724
898	6380	716
899	6386	709
900	6390	702
901	6396	694
902	6401	687
903	6406	680
904	6411	672
905	6417	665
906	6423	658
907	6432	651
908	6441	644
909	6447	637
910	6451	630
911	6456	623
912	6460	615
913	6468	608
914	6473	601
915	6478	594
916	6483	586
917	6488	579
918	6494	572
919	6501	565
920	6507	558
921	6513	551
922	6519	543
923	6524	536
924	6531	529
925	6540	522
926	6545	515
927	6551	508
928	6556	501
929	6562	493
930	6567	486
931	6574	479
932	6583	472
933	6589	465
934	6593	458
935	6600	451
936	6605	444
937	6614	437
938	6621	430
939	6629	423
940	6635	416
941	6641	408
942	6645	401
943	6649	394
944	6656	387
945	6667	380
946	6673	373
947	6681	366
948	6690	359
949	6698	352
950	6705	345
951	6710	338
952	6716	331
953	6722	324
954	6729	317
955	6735	309
956	6740	302
957	6745	295
958	6749	288
959	6757	281
960	6762	274
961	6767	267
962	6771	260
963	6775	253
964	6779	245
965	6783	238
966	6785	231
967	6789	224
968	6794	217
969	6799	210
970	6804	203
971	6810	196
972	6814	189
973	6818	182
974	6822	174
975	6828	167
976	6834	160
977	6839	153
978	6845	146
979	6853	139
980	6859	132
981	6862	125
982	6865	118
983	6868	111
984	6872	104
985	6874	97
986	6885	90
987	6891	83
988	6897	76
989	6901	69
990	6906	62
991	6909	55
992	6912	48
993	6914	41
994	6916	34
995	6918	27
996	6919	20
997	6921	13
998	6924	6
999	6925	0
